,Model_Name,CV_ROC_AUC,CV_STD,Holdout_ROC_AUC
1,GradientBoostingClassifier,0.9980993487782026,4.235664327356106e-05,0.998202213242448
5,XGBClassifier,0.9980944487591179,5.430702646212496e-05,0.9980735771458068
2,RandomForestClassifier,0.9975065002003871,2.983008423169008e-05,0.9976787073838259
4,KNeighborsClassifier,0.9840171745168386,0.00030783653932041165,0.984087950857241
3,DecisionTreeClassifier,0.983058743295832,0.00021995307320339192,0.9824858713653338
0,LogisticRegression,0.9724260663297185,0.00041950887907283956,0.9725066625363231
